id,life_sq,full_sq
6115,6,6
20165,7.5,16
7198,7.5,19
3738,5.350911572,22
7307,8.331551906,26
16132,8.34682416,26
19536,8.34682416,26
20697,8.34682416,26
21727,8.34682416,26
19526,8.4876271,25
25040,8.792424637,26
25986,9.330621935,27
29774,9.471424875,26
25383,9.749956817,27
26077,9.749956817,27
27212,9.749956817,27
28947,9.749956817,27
19995,9.776222412,27
21792,9.776222412,27
22579,9.776222412,27
22973,9.776222412,27
23923,9.776222412,27
24744,9.776222412,27
27324,9.776222412,27
5305,9.950679677,26
6410,9.950679677,26
6427,9.950679677,26
7070,9.950679677,26
7575,9.950679677,26
7705,9.950679677,26
8325,9.950679677,26
8895,9.950679677,26
19191,9.950679677,26
4806,10.29914746,28
21852,10.31441971,28
24212,10.31441971,28
10874,10.43439783,28
5466,10.45522265,27
6595,10.45522265,27
13694,10.45522265,27
17711,10.45522265,27
18614,10.45522265,27
23467,10.45522265,27
24897,10.45522265,27
25455,10.45522265,27
26183,10.45522265,27
26225,10.45522265,27
26348,10.45522265,27
26864,10.45522265,27
27118,10.45522265,27
30182,10.45522265,27
19278,10.73375459,28
27651,10.73375459,28
29498,10.73375459,28
4056,10.93447745,27
7208,10.93447745,27
13401,11.24686745,29
6012,11.29821748,29
6309,11.29821748,29
6368,11.29821748,29
6940,11.29821748,29
7748,11.29821748,29
7757,11.29821748,29
8188,11.29821748,29
8243,11.29821748,29
8323,11.29821748,29
8382,11.29821748,29
8441,11.29821748,29
8463,11.29821748,29
8789,11.29821748,29
8806,11.29821748,29
8808,11.29821748,29
8890,11.29821748,29
9092,11.29821748,29
9171,11.29821748,29
9326,11.29821748,29
9936,11.29821748,29
11591,11.29821748,29
11874,11.29821748,29
26808,11.29821748,29
6388,11.30935074,29
6616,11.30935074,29
16505,11.43902043,28
20052,11.43902043,28
20146,11.43902043,28
20955,11.43902043,28
22818,11.43902043,28
24058,11.43902043,28
24565,11.43902043,28
26581,11.43902043,28
27763,11.43902043,28
29090,11.43902043,28
29567,11.43902043,28
14295,11.71755237,29
16552,11.71755237,29
21741,11.71755237,29
21861,11.71755237,29
22880,11.71755237,29
23860,11.71755237,29
24694,11.71755237,29
23948,11.74381796,29
26089,11.74381796,29
26826,11.74381796,29
17657,12.25392353,30
18435,12.25392353,30
20326,12.25392353,30
20329,12.25392353,30
